Filename,Label,Predicted Label,Confidence
375px-0810Grookey.png,0,0,100.0
375px-0811Thwackey.png,0,0,100.0
375px-0812Rillaboom.png,0,0,75.05592
375px-0813Scorbunny.png,0,0,100.0
375px-0814Raboot.png,0,0,99.98387
375px-0815Cinderace.png,0,0,99.99364
375px-0816Sobble.png,0,0,100.0
375px-0817Drizzile.png,0,0,100.0
375px-0818Inteleon.png,0,0,99.99716
375px-0819Skwovet.png,0,0,100.0
375px-0820Greedent.png,0,0,99.999985
375px-0821Rookidee.png,0,0,100.0
375px-0822Corvisquire.png,0,0,100.0
375px-0823Corviknight.png,0,0,100.0
375px-0824Blipbug.png,0,0,100.0
375px-0825Dottler.png,0,0,100.0
375px-0826Orbeetle.png,0,0,99.981865
375px-0827Nickit.png,0,0,99.9663
375px-0828Thievul.png,0,0,99.99587
375px-0829Gossifleur.png,0,0,100.0
375px-0830Eldegoss.png,0,0,99.999916
375px-0831Wooloo.png,0,0,100.0
375px-0832Dubwool.png,0,0,100.0
375px-0833Chewtle.png,0,0,100.0
375px-0834Drednaw.png,0,0,100.0
375px-0835Yamper.png,0,0,100.0
375px-0836Boltund.png,0,0,100.0
375px-0837Rolycoly.png,0,0,100.0
375px-0838Carkol.png,0,0,100.0
375px-0839Coalossal.png,0,0,99.99983
375px-0840Applin.png,0,0,100.0
375px-0841Flapple.png,0,0,99.999985
375px-0842Appletun.png,0,0,100.0
375px-0843Silicobra.png,0,0,100.0
375px-0844Sandaconda.png,0,0,100.0
375px-0845Cramorant.png,0,0,99.99998
375px-0846Arrokuda.png,0,0,100.0
375px-0847Barraskewda.png,0,0,100.0
375px-0848Toxel.png,0,0,100.0
375px-0849Toxtricity-Amped.png,0,0,100.0
375px-0850Sizzlipede.png,0,0,100.0
375px-0851Centiskorch.png,0,0,99.99998
375px-0852Clobbopus.png,0,0,100.0
375px-0853Grapploct.png,0,0,100.0
375px-0854Sinistea.png,0,0,100.0
375px-0855Polteageist.png,0,0,100.0
375px-0856Hatenna.png,0,0,100.0
375px-0857Hattrem.png,0,0,99.99989
375px-0858Hatterene.png,0,0,99.999985
375px-0859Impidimp.png,0,0,100.0
375px-0860Morgrem.png,0,0,100.0
375px-0861Grimmsnarl.png,0,0,99.99996
375px-0862Obstagoon.png,0,0,100.0
375px-0863Perrserker.png,0,0,100.0
375px-0864Cursola.png,0,0,100.0
375px-0865Sirfetchd.png,0,0,99.98355
375px-0866Mr._Rime.png,0,0,100.0
375px-0867Runerigus.png,0,0,100.0
375px-0868Milcery.png,0,0,100.0
375px-0869Alcremie.png,0,0,100.0
375px-0870Falinks.png,0,0,97.91983
375px-0871Pincurchin.png,0,0,100.0
375px-0872Snom.png,0,0,100.0
375px-0873Frosmoth.png,0,0,100.0
375px-0874Stonjourner.png,0,0,99.995926
375px-0875Eiscue.png,0,0,100.0
375px-0876Indeedee.png,0,1,99.34498
375px-0877Morpeko-Full.png,0,0,100.0
375px-0878Cufant.png,0,0,100.0
375px-0879Copperajah.png,0,0,87.00186
375px-0880Dracozolt.png,0,0,100.0
375px-0881Arctozolt.png,0,0,100.0
375px-0882Dracovish.png,0,0,100.0
375px-0883Arctovish.png,0,0,100.0
375px-0884Duraludon.png,0,0,100.0
375px-0885Dreepy.png,0,0,100.0
375px-0886Drakloak.png,0,0,100.0
375px-0887Dragapult.png,0,0,99.98728
375px-0888Zacian-Hero.png,0,0,99.999985
375px-0889Zamazenta-Hero.png,0,0,99.58699
375px-0890Eternatus.png,0,0,99.96271
375px-0891Kubfu.png,0,0,100.0
375px-0892Urshifu-Single_Strike.png,0,0,99.90258
375px-0893Zarude.png,0,0,99.99955
375px-0894Regieleki.png,0,0,99.999596
375px-0895Regidrago.png,0,0,99.9746
375px-0896Glastrier.png,0,0,100.0
375px-0897Spectrier.png,0,0,100.0
375px-0898Calyrex.png,0,0,79.555664
375px-0899Wyrdeer.png,0,0,99.938774
375px-0900Kleavor.png,0,0,100.0
375px-0901Ursaluna.png,0,0,100.0
375px-0902Basculegion.png,0,1,98.68016
375px-0903Sneasler.png,0,0,99.999985
375px-0904Overqwil.png,0,0,100.0
375px-0905Enamorus.png,0,0,99.99702
